# LaB6 - PDF 00-034-0427 Lambda=1.54184
# 2Q       d     i  h   k   l
21.371	4.1577	39	1	0	0
30.412	2.9392	100 1	1	0
37.476	2.3998	51	1	1	1
43.554	2.0780	32	2	0	0
49.011	1.8586	73	2	1	0
54.042	1.6969	42	2	1	1
63.275	1.4697	16	2	2	0
67.626	1.3853	49	3	0	0
71.824	1.3144	36	3	1	0
75.921	1.2533	24	3	1	1
79.946	1.2000	5	2	2	2
83.932	1.1529	16	3	2	0
87.882	1.1110	35	3	2	1
95.767	1.0393	6	4	0	0
99.749	1.0082	24	4	1	0
103.774	0.9798	21	4	1	1
107.882	0.9536	10	3	3	1
112.077	0.9295	13	4	2	0
116.399	0.9071	30	4	2	1
120.888	0.8862	10	3	3	2
130.616	0.8485	11	4	2	2
136.022	0.8314	11	5	0	0
142.040	0.8152	37	5	1	0
149.001	0.8000	23	5	1	1
